country,year,co2_emissions,greenhouse_gas_emissions,cereal_yield,population_growth,GDP,fresh_water,urban_population,renewable_electricity,total_population,renewable_energy_consumption
Lithuania,1999,3.47513419922264,,,,,,,,,
Lithuania,1998,4.14348506803113,,,,,,,,,
Lithuania,1997,3.89470389526331,,,,,,,,,
Lithuania,1996,3.95372850997595,,,,,,,,,
Lithuania,1995,3.78765876517111,,,,,,,,,
Lithuania,1994,4.05212373371133,,,,,,,,,
Lithuania,1993,4.27796784511433,,,,,,,,,
Lithuania,1992,5.40469834172677,,,,,,,,,
Lithuania,1991,9.25749446429314,,,,,,,,,
Lithuania,1990,8.71263154308004,,,,,,,,,
Madagascar,2020,0.0972695405949093,,,,,,,,,
Madagascar,2019,0.142653575143316,,,,,,,,,
Madagascar,2018,0.123102264831808,,,,,,,,,
Madagascar,2017,0.133017230488787,,,,,,,,,
Madagascar,2016,0.124763836603653,,,,,,,,,
Madagascar,2015,0.132173016426922,,,,,,,,,
Madagascar,2014,0.124323710925382,,,,,,,,,
Madagascar,2013,0.124225069169491,,,,,,,,,
Madagascar,2012,0.119381317969332,,,,,,,,,
Madagascar,2011,0.0981687170817389,,,,,,,,,
Madagascar,2010,0.0860427702237899,,,,,,,,,
Madagascar,2009,0.0798509567510527,,,,,,,,,
Madagascar,2008,0.0867882812762402,,,,,,,,,
Madagascar,2007,0.0864794796556158,,,,,,,,,
Madagascar,2006,0.0846028270674267,,,,,,,,,
Madagascar,2005,0.0909761836458385,,,,,,,,,
Madagascar,2004,0.0901627514537192,,,,,,,,,
Madagascar,2003,0.0876423398146388,,,,,,,,,
Madagascar,2002,0.0651832617996327,,,,,,,,,
Madagascar,2001,0.0998847074432671,,,,,,,,,
Madagascar,2000,0.101996549055708,,,,,,,,,
Madagascar,1999,0.106137067304224,,,,,,,,,
Madagascar,1998,0.106678056570175,,,,,,,,,
Madagascar,1997,0.0960436644045908,,,,,,,,,
Madagascar,1996,0.0913779782355159,,,,,,,,,
Madagascar,1995,0.0989102567153056,,,,,,,,,
Madagascar,1994,0.0902879633191752,,,,,,,,,
Madagascar,1993,0.0765524074315865,,,,,,,,,
Madagascar,1992,0.0764187486958683,,,,,,,,,
Madagascar,1991,0.0778007163588197,,,,,,,,,
Madagascar,1990,0.0749935074017303,,,,,,,,,
Russian Federation,2020,11.2322880672434,,,,,,,,,
Russian Federation,2019,11.7971941673637,,,,,,,,,
Russian Federation,2018,11.4965712497165,,,,,,,,,
Russian Federation,2017,11.0351992095822,,,,,,,,,
Russian Federation,2016,10.8874269283473,,,,,,,,,
Russian Federation,2015,11.0520055015768,,,,,,,,,
Russian Federation,2014,11.2082077063911,,,,,,,,,
Russian Federation,2013,11.3770043056089,,,,,,,,,
Russian Federation,2012,11.7020653683345,,,,,,,,,
Russian Federation,2011,11.884949695479,,,,,,,,,
Russian Federation,2010,11.3254009458404,,,,,,,,,
Russian Federation,2009,10.8321085519776,,,,,,,,,
Russian Federation,2008,11.5956540891301,,,,,,,,,
Russian Federation,2007,11.6112690474096,,,,,,,,,
Russian Federation,2006,11.568369096945,,,,,,,,,
Russian Federation,2005,11.2318521528474,,,,,,,,,
Russian Federation,2004,11.1127113661228,,,,,,,,,
Russian Federation,2003,11.1303980795724,,,,,,,,,
Russian Federation,2002,10.7726387485619,,,,,,,,,
Russian Federation,2001,10.73578413816,,,,,,,,,
Russian Federation,2000,10.6676603031679,,,,,,,,,
Russian Federation,1999,10.3503285566932,,,,,,,,,
Russian Federation,1998,10.076231463632,,,,,,,,,
Russian Federation,1997,10.0699919868363,,,,,,,,,
Russian Federation,1996,10.8070673993541,,,,,,,,,
Russian Federation,1995,11.0225855112061,,,,,,,,,
Russian Federation,1994,11.3541540831058,,,,,,,,,
Russian Federation,1993,12.6650949037523,,,,,,,,,
Russian Federation,1992,13.6719762392161,,,,,,,,,
Russian Federation,1991,14.3970860697158,,,,,,,,,
Russian Federation,1990,14.6214892920399,,,,,,,,,
Suriname,2020,4.28507655687612,,,,,,,,,
Suriname,2019,4.42581305045302,,,,,,,,,
Suriname,2018,3.61542154063819,,,,,,,,,
Suriname,2017,4.16014391746191,,,,,,,,,
Suriname,2016,5.08189999879612,,,,,,,,,
Suriname,2015,4.73365480689865,,,,,,,,,
Suriname,2014,4.59905701777483,,,,,,,,,
Suriname,2013,4.06032836419025,,,,,,,,,
Suriname,2012,4.3748107455327,,,,,,,,,
Suriname,2011,3.53661893774473,,,,,,,,,
Suriname,2010,3.19526443012013,,,,,,,,,
Suriname,2009,2.67926820460493,,,,,,,,,
Suriname,2008,2.72595320055887,,,,,,,,,
Suriname,2007,2.67315217844249,,,,,,,,,
Suriname,2006,2.92950693743379,,,,,,,,,
Suriname,2005,3.26849017860602,,,,,,,,,
Suriname,2004,2.72823421574234,,,,,,,,,
Suriname,2003,2.44940251697169,,,,,,,,,
Suriname,2002,2.25083019614014,,,,,,,,,
Suriname,2001,3.11977578714551,,,,,,,,,
Suriname,2000,3.09066008626341,,,,,,,,,
Suriname,1999,4.56936144565509,,,,,,,,,
Suriname,1998,4.61598027716357,,,,,,,,,
Suriname,1997,4.70639675459883,,,,,,,,,
Suriname,1996,4.75295614351312,,,,,,,,,
Suriname,1995,4.80467022716288,,,,,,,,,
Suriname,1994,4.85127769207686,,,,,,,,,
Suriname,1993,4.87794500621486,,,,,,,,,
Suriname,1992,4.89375274896847,,,,,,,,,
Suriname,1991,4.91787382596801,,,,,,,,,
Suriname,1990,4.2639915519096,,,,,,,,,
Sweden,2020,3.24298914312747,,,,,,,,,
Sweden,2019,3.40159396635064,,,,,,,,,
Sweden,2018,3.52974394445168,,,,,,,,,
Sweden,2017,3.79492404723228,,,,,,,,,
Sweden,2016,3.89911000460038,,,,,,,,,
Sweden,2015,3.99217853401293,,,,,,,,,
Sweden,2014,4.02150965696553,,,,,,,,,
Sweden,2013,4.2069276640016,,,,,,,,,
Sweden,2012,4.41169765995117,,,,,,,,,
Sweden,2011,4.70430712060359,,,,,,,,,
Sweden,2010,5.11674720514525,,,,,,,,,
Sweden,2009,4.59865903318971,,,,,,,,,
Sweden,2008,4.99187766286243,,,,,,,,,
Sweden,2007,5.14361901913536,,,,,,,,,
Sweden,2006,5.36698124168204,,,,,,,,,
Sweden,2005,5.54650873817718,,,,,,,,,
Sweden,2004,5.95909437572406,,,,,,,,,
Sweden,2003,6.16223362899073,,,,,,,,,
Sweden,2002,6.05310411544794,,,,,,,,,
Sweden,2001,5.90125180418977,,,,,,,,,
Sweden,2000,6.00505471697879,,,,,,,,,
Sweden,1999,6.46485827186072,,,,,,,,,
Sweden,1998,6.59400874977149,,,,,,,,,
Sweden,1997,6.48668300086524,,,,,,,,,
Sweden,1996,7.19911937543703,,,,,,,,,
Sweden,1995,6.5969528054969,,,,,,,,,
Sweden,1994,6.6610293317936,,,,,,,,,
Sweden,1993,6.48098923664123,,,,,,,,,
Sweden,1992,6.54654607538221,,,,,,,,,
Sweden,1991,6.29383077793412,,,,,,,,,
Sweden,1990,6.23288099373338,,,,,,,,,
Togo,2020,0.286061843654428,,,,,,,,,
Togo,2019,0.296284380597868,,,,,,,,,
Togo,2018,0.272149541444365,,,,,,,,,
Togo,2017,0.257067706466296,,,,,,,,,
Togo,2016,0.300938972406183,,,,,,,,,
Togo,2015,0.24428530157446,,,,,,,,,
Togo,2014,0.217949578116298,,,,,,,,,
Togo,2013,0.246122099358183,,,,,,,,,
Togo,2012,0.322782996361148,,,,,,,,,
Togo,2011,0.372754817540399,,,,,,,,,
Togo,2010,0.400206638764854,,,,,,,,,
Togo,2009,0.441454287671849,,,,,,,,,
Togo,2008,0.252118045500172,,,,,,,,,
Togo,2007,0.248646680458507,,,,,,,,,
Togo,2006,0.267200522961268,,,,,,,,,
Togo,2005,0.306061509591801,,,,,,,,,
Togo,2004,0.31952027755247,,,,,,,,,
Togo,2003,0.338277008249952,,,,,,,,,
Togo,2002,0.254509197888948,,,,,,,,,
Togo,2001,0.228960634163235,,,,,,,,,
Togo,2000,0.253392797773977,,,,,,,,,
Togo,1999,0.350908114950448,,,,,,,,,
Togo,1998,0.253706567079014,,,,,,,,,
Togo,1997,0.166291058344493,,,,,,,,,
Togo,1996,0.305136235029127,,,,,,,,,
Togo,1995,0.228387644915396,,,,,,,,,
Togo,1994,0.221594424294314,,,,,,,,,
Togo,1993,0.155232748593073,,,,,,,,,
Togo,1992,0.181675648571106,,,,,,,,,
Togo,1991,0.231942389069261,,,,,,,,,
Togo,1990,0.252222231108939,,,,,,,,,
Zimbabwe,2020,0.530483547000938,,,,,,,,,
Zimbabwe,2019,0.663338328142275,,,,,,,,,
Zimbabwe,2018,0.73543480467685,,,,,,,,,
Zimbabwe,2017,0.663069149889218,,,,,,,,,
Zimbabwe,2016,0.723061926681678,,,,,,,,,
Zimbabwe,2015,0.846962441443576,,,,,,,,,
Zimbabwe,2014,0.866838489398591,,,,,,,,,
Zimbabwe,2013,0.901248223773483,,,,,,,,,
Zimbabwe,2012,0.901213848338952,,,,,,,,,
Zimbabwe,2011,0.871932094687575,,,,,,,,,
Zimbabwe,2010,0.741290479401852,,,,,,,,,
Zimbabwe,2009,0.597225037283682,,,,,,,,,
Zimbabwe,2008,0.614453130260064,,,,,,,,,
Zimbabwe,2007,0.783442169064094,,,,,,,,,
Zimbabwe,2006,0.794112804925027,,,,,,,,,
Zimbabwe,2005,0.855305624579899,,,,,,,,,
Zimbabwe,2004,0.795361783410264,,,,,,,,,
Zimbabwe,2003,0.836654844702988,,,,,,,,,
Zimbabwe,2002,1.02576263425096,,,,,,,,,
Zimbabwe,2001,1.13721979840782,,,,,,,,,
Zimbabwe,2000,1.14738248854468,,,,,,,,,
Zimbabwe,1999,1.3500757140343,,,,,,,,,
Zimbabwe,1998,1.21862282830711,,,,,,,,,
Zimbabwe,1997,1.21682908392337,,,,,,,,,
Zimbabwe,1996,1.32955561334676,,,,,,,,,
Zimbabwe,1995,1.40836294861917,,,,,,,,,
Zimbabwe,1994,1.46984959562905,,,,,,,,,
Zimbabwe,1993,1.58181840751361,,,,,,,,,
Zimbabwe,1992,1.73561981528734,,,,,,,,,
Zimbabwe,1991,1.76347333229586,,,,,,,,,
Zimbabwe,1990,1.63492929972662,,,,,,,,,
Antigua and Barbuda,2020,,1203.631334,,,,,,,,
Antigua and Barbuda,2019,,1211.480385,,,,,,,,
Antigua and Barbuda,2018,,1185.478236,,,,,,,,
Antigua and Barbuda,2017,,1150.138886,,,,,,,,
Antigua and Barbuda,2016,,1123.550637,,,,,,,,
Antigua and Barbuda,2015,,1085.816188,,,,,,,,
Antigua and Barbuda,2014,,1061.010555,,,,,,,,
Antigua and Barbuda,2013,,1046.077422,,,,,,,,
Antigua and Barbuda,2012,,1031.904489,,,,,,,,
Antigua and Barbuda,2011,,1006.705256,,,,,,,,
Antigua and Barbuda,2010,,1004.970423,,,,,,,,
Antigua and Barbuda,2009,,976.4012,,,,,,,,
Antigua and Barbuda,2008,,913.476977,,,,,,,,
Antigua and Barbuda,2007,,867.144654,,,,,,,,
Antigua and Barbuda,2006,,808.61563,,,,,,,,
Antigua and Barbuda,2005,,749.459707,,,,,,,,
Antigua and Barbuda,2004,,720.617202,,,,,,,,
Antigua and Barbuda,2003,,693.814297,,,,,,,,
Antigua and Barbuda,2002,,647.976092,,,,,,,,
Antigua and Barbuda,2001,,614.649387,,,,,,,,
Antigua and Barbuda,2000,,584.648482,,,,,,,,
Antigua and Barbuda,1999,,553.953387,,,,,,,,
Antigua and Barbuda,1998,,522.181692,,,,,,,,
Antigua and Barbuda,1997,,485.916496,,,,,,,,
Antigua and Barbuda,1996,,454.952501,,,,,,,,
Antigua and Barbuda,1995,,418.314406,,,,,,,,
Antigua and Barbuda,1994,,399.843404,,,,,,,,
Antigua and Barbuda,1993,,387.839902,,,,,,,,
Antigua and Barbuda,1992,,375.6562,,,,,,,,
Antigua and Barbuda,1991,,370.527998,,,,,,,,
Antigua and Barbuda,1990,,358.408496,,,,,,,,
Costa Rica,2020,,14405.0866,,,,,,,,
Costa Rica,2019,,15718.67899,,,,,,,,
Costa Rica,2018,,15749.85459,,,,,,,,
Costa Rica,2017,,15440.86498,,,,,,,,
Costa Rica,2016,,15103.53237,,,,,,,,
Costa Rica,2015,,14296.03177,,,,,,,,
Costa Rica,2014,,14438.24508,,,,,,,,
Costa Rica,2013,,14390.80079,,,,,,,,
Costa Rica,2012,,13894.03481,,,,,,,,
Costa Rica,2011,,13939.11362,,,,,,,,
Costa Rica,2010,,13252.16003,,,,,,,,
Costa Rica,2009,,13119.85323,,,,,,,,
Costa Rica,2008,,13563.61134,,,,,,,,
Costa Rica,2007,,13378.75534,,,,,,,,
Costa Rica,2006,,12014.05874,,,,,,,,
Costa Rica,2005,,11680.17054,,,,,,,,
Costa Rica,2004,,11138.83123,,,,,,,,
Costa Rica,2003,,11114.12492,,,,,,,,
Costa Rica,2002,,10757.81741,,,,,,,,
Costa Rica,2001,,10725.3465,,,,,,,,
Costa Rica,2000,,10415.03619,,,,,,,,
Costa Rica,1999,,10562.36082,,,,,,,,
Costa Rica,1998,,10740.24144,,,,,,,,
Costa Rica,1997,,10041.16087,,,,,,,,
Costa Rica,1996,,10003.802,,,,,,,,
Costa Rica,1995,,10017.77822,,,,,,,,
Costa Rica,1994,,10424.69289,,,,,,,,
Costa Rica,1993,,10013.63475,,,,,,,,
Costa Rica,1992,,9928.016514,,,,,,,,
Costa Rica,1991,,8785.251577,,,,,,,,
Costa Rica,1990,,8492.885741,,,,,,,,
Curacao,2020,,,,,,,,,,
Curacao,2019,,,,,,,,,,
Curacao,2018,,,,,,,,,,
Curacao,2017,,,,,,,,,,
Curacao,2016,,,,,,,,,,
Curacao,2015,,,,,,,,,,
Curacao,2014,,,,,,,,,,
Curacao,2013,,,,,,,,,,
Curacao,2012,,,,,,,,,,
Curacao,2011,,,,,,,,,,
Curacao,2010,,,,,,,,,,
Curacao,2009,,,,,,,,,,
Curacao,2008,,,,,,,,,,
Curacao,2007,,,,,,,,,,
Curacao,2006,,,,,,,,,,
Curacao,2005,,,,,,,,,,
Curacao,2004,,,,,,,,,,
Curacao,2003,,,,,,,,,,
Curacao,2002,,,,,,,,,,
Curacao,2001,,,,,,,,,,
Curacao,2000,,,,,,,,,,
Curacao,1999,,,,,,,,,,
Curacao,1998,,,,,,,,,,
Curacao,1997,,,,,,,,,,
Curacao,1996,,,,,,,,,,
Curacao,1995,,,,,,,,,,
Curacao,1994,,,,,,,,,,
Curacao,1993,,,,,,,,,,
Curacao,1992,,,,,,,,,,
Curacao,1991,,,,,,,,,,
Curacao,1990,,,,,,,,,,
Algeria,2020,,266702.6795,,,,,,,,
Algeria,2019,,279200.6234,,,,,,,,
Algeria,2018,,274181.7018,,,,,,,,
